sample_id,location_id,date,local_area_name,establishment_type,users,last_emptied,shared_toilet,rent_or_own,containment,lining,lining_material,change_in_liquid_level,baffles,outflow,outflow_location,toilet_type,anal_cleansing_material,paper,water,additives,frequency,chemicals,wastewater_type,toilet,bathing,laundry,kitchen,water_connection,tap_inside_building,standpipe,containment_age,containment_constructed,containment_volume,fully_emptied,emptying_interval,rainy_season,solid_waste,type
01-Pender-06042023,1a,2023-04-06T00:00:00Z,Pender Island,Household,2,5,FALSE,Own,Septic tank,Fully lined (watertight),Fiberglass,FALSE,TRUE,TRUE,Leech field,Cistern flush,Paper,TRUE,FALSE,FALSE,NA,"Bleach, CLR",Toilet Bathing Laundry Kitchen,TRUE,TRUE,TRUE,TRUE,TRUE,1,0,More than 10 years old,Technician/Mason,NA,TRUE,15,FALSE,FALSE,NA
02-Pender-06042023,1b,2023-04-06T00:00:00Z,Pender Island,Household,3,1,FALSE,Own,Septic tank,Fully lined (watertight),Fiberglass,FALSE,TRUE,TRUE,Leech field,Cistern flush,Paper,TRUE,FALSE,FALSE,NA,Bleach,Toilet Bathing Laundry Kitchen,TRUE,TRUE,TRUE,TRUE,TRUE,1,0,More than 10 years old,Technician/Mason,NA,TRUE,NA,FALSE,FALSE,NA
03-Saanich-12042023,2a,2023-04-12T00:00:00Z,Saanich,Household,2,3,TRUE,Own,Septic tank,Fully lined (watertight),Fiberglass,FALSE,TRUE,TRUE,Leech field,Cistern flush,Paper,TRUE,FALSE,FALSE,NA,NA,Kitchen Laundry Bathing Toilet,TRUE,TRUE,TRUE,TRUE,TRUE,1,0,More than 10 years old,Technician/Mason,NA,TRUE,5,FALSE,FALSE,NA
04-Saanich-12042023,2b,2023-04-12T00:00:00Z,Saanich,Household,3,6,TRUE,Own,Septic tank,Fully lined (watertight),Concrete,FALSE,TRUE,TRUE,Leach field,Cistern flush,Paper,TRUE,FALSE,FALSE,NA,NA,Toilet Bathing,TRUE,TRUE,FALSE,FALSE,TRUE,1,0,More than 10 years old,Technician/Mason,NA,TRUE,6,FALSE,FALSE,NA
05-SSI-19042023,3a,2023-04-19T00:00:00Z,Salt Spring Island,Household,2,2,FALSE,Own,Septic tank,Fully lined (watertight),Concrete,FALSE,TRUE,TRUE,Leach field,Cistern flush,Paper Water,TRUE,TRUE,FALSE,NA,NA,Toilet Bathing Laundry Kitchen,TRUE,TRUE,TRUE,TRUE,TRUE,1,0,More than 10 years old,Technician/Mason,NA,TRUE,5,FALSE,FALSE,NA
06-SSI-19042023,3b,2023-04-19T00:00:00Z,Salt Spring Island,Commercial,410,0.08333333333333333,TRUE,NA,Septic tank,Fully lined (watertight),Concrete,FALSE,TRUE,TRUE,Bionest treatment plant,Cistern flush,Paper,TRUE,FALSE,FALSE,NA,NA,Toilet,TRUE,FALSE,FALSE,FALSE,TRUE,1,0,More than 10 years old,Professional engineer,NA,TRUE,0.5,FALSE,FALSE,NA
07-NS-2604223,4a,2023-04-26T00:00:00Z,Saanich,Household,2,11,FALSE,Own,Septic tank,Fully lined (watertight),Concrete,FALSE,TRUE,TRUE,Leech field,Cistern flush,Paper,TRUE,FALSE,FALSE,NA,NA,Toilet Bathing Laundry Kitchen,TRUE,TRUE,TRUE,TRUE,TRUE,1,0,More than 10 years old,Technician/Mason,4.5,TRUE,10,FALSE,FALSE,NA
08-NS-26042023,4b,2023-04-26T00:00:00Z,Saanich,Household,2,8,FALSE,Own,Septic tank,Fully lined (watertight),Fiberglass,FALSE,TRUE,TRUE,Leech field,Cistern flush,Paper,TRUE,FALSE,FALSE,NA,NA,Toilet Bathing Laundry Kitchen,TRUE,TRUE,TRUE,TRUE,TRUE,1,0,6 - 10 years old,Professional engineer,NA,TRUE,NA,FALSE,FALSE,NA
09-PL-09052023,5a,2023-05-09T00:00:00Z,Saanich,School,304,2.5,TRUE,NA,Treatment plant,Fully lined (watertight),Concrete,FALSE,TRUE,TRUE,Leach field,Cistern flush,Paper,TRUE,FALSE,FALSE,NA,NA,Toilet Bathing Laundry Kitchen,TRUE,TRUE,TRUE,TRUE,TRUE,1,0,More than 10 years old,Professional engineer,NA,TRUE,NA,FALSE,FALSE,NA
10-DC-09052023,5b,2023-05-09T00:00:00Z,Saanich,School,368,3,TRUE,NA,Wastewater treatment unit,Fully lined (watertight),Concrete,FALSE,TRUE,TRUE,Leach field,Cistern flush,Paper,TRUE,FALSE,FALSE,NA,NA,Toilet Bathing Laundry Kitchen,TRUE,TRUE,TRUE,TRUE,TRUE,1,0,More than 10 years old,Professional engineer,NA,TRUE,NA,FALSE,FALSE,NA
11-NS-25052023,6a,2023-05-25T00:00:00Z,Saanich,Household,4,1,FALSE,Own,Septic tank,Fully lined (watertight),Concrete,FALSE,TRUE,TRUE,Leach field,Cistern flush,Paper Water,TRUE,TRUE,NA,1 2oz pack every 3-4 months,Pro-pump septic packets,Toilet Bathing Laundry Kitchen,TRUE,TRUE,TRUE,TRUE,TRUE,1,0,More than 10 years old,Technician/Mason,2.2,TRUE,5.5,FALSE,FALSE,NA
12-NS-25052023,6b,2023-05-25T00:00:00Z,Saanich,Household,2,1,FALSE,Own,Septic tank,Fully lined (watertight),Concrete,FALSE,TRUE,TRUE,Leach field,Cistern flush,Paper,TRUE,FALSE,NA,Septonic,NA,Toilet Bathing Laundry Kitchen,TRUE,TRUE,TRUE,TRUE,TRUE,1,0,More than 10 years old,Professional engineer,NA,TRUE,5,FALSE,FALSE,NA
13-PI-31052023,7a,2023-05-31T00:00:00Z,Pender Island,Commercial,10,5,TRUE,NA,Septic tank,Fully lined (watertight),Concrete,FALSE,TRUE,TRUE,Leach field,Cistern flush,Paper,TRUE,FALSE,FALSE,NA,NA,Toilet Kitchen,TRUE,FALSE,FALSE,TRUE,TRUE,1,0,More than 10 years old,Technician/Mason,8,TRUE,6,FALSE,FALSE,NA
14-PI-31052023,7b,2023-05-31T00:00:00Z,Pender Island,Household,2,3,TRUE,Own,Septic tank,Fully lined (watertight),Concrete,FALSE,TRUE,TRUE,Leech field,Cistern flush,Paper,TRUE,FALSE,FALSE,NA,Regular cleaners,Toilet Bathing Laundry Kitchen,TRUE,TRUE,TRUE,TRUE,TRUE,1,0,More than 10 years old,Technician/Mason,NA,TRUE,5.5,FALSE,FALSE,NA
15-PI-31052023,7c,2023-05-31T00:00:00Z,Pender Island,Commercial,10,0.5,TRUE,NA,Septic tank,Fully lined (watertight),Concrete,FALSE,TRUE,TRUE,Leach field,Cistern flush,Paper Water,TRUE,TRUE,FALSE,NA,NA,Toilet,TRUE,FALSE,FALSE,FALSE,TRUE,1,0,More than 10 years old,Technician/Mason,NA,TRUE,NA,FALSE,FALSE,NA
16-DC-07062023,8a,2023-06-07T00:00:00Z,Saanich,Household,3,3.5,FALSE,Own,Septic tank,Fully lined (watertight),PVC or plastic,FALSE,TRUE,TRUE,Leach field,Cistern flush,Paper,TRUE,FALSE,FALSE,NA,NA,Toilet Bathing Laundry Kitchen,TRUE,TRUE,TRUE,TRUE,TRUE,1,0,More than 10 years old,Technician/Mason,NA,TRUE,4,FALSE,FALSE,NA
